local_designation|ps1_designation|sherlock_distancempc|dec_psf|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|target|ref|diff|mjd_obs
10AYSEaip|||-3.9285353914708696|0.168447|20.8127|UNCLEAR|POSSIBLE|S4SL000708|r|GSC v2.3|2020-01-21|||162.76286946742852|1105103080035542600|1105103080035542600_58869.482_101748602_237_target|1105103080035542600_58869.482_101748602_237_ref|1105103080035542600_58869.482_101748602_237_diff|58869.4828284634
10AYSEaiq|||-1.2400892313933847|0.123263|20.563|ORPHAN|POSSIBLE||r||2020-01-21|||158.36189326771586|1103326860011424100|1103326860011424100_58869.482_101748533_253_target|1103326860011424100_58869.482_101748533_253_ref|1103326860011424100_58869.482_101748533_253_diff|58869.4823931698
10AYSEakb||168.483|-1.3099166444067563|0.0989031|20.6114|SN|POSSIBLE|3284902|r|The GLADE Catalogue v2.3|2020-01-21|0.0381433690717||158.19402716162608|1103246570011835500|1103246570011835500_58869.482_101748533_234_target|1103246570011835500_58869.482_101748533_234_ref|1103246570011835500_58869.482_101748533_234_diff|58869.4823931698
10AYSEaiz||1895.952752|2.7977284017615265|0.211092|20.8647|SN|POSSIBLE|1237651754536600461|g|SDSS DR12 PhotoObjAll Table|2020-01-21|||155.74396656503862|1102258551024751700|1102258551024751700_58869.476_101747928_148_target|1102258551024751700_58869.476_101747928_148_ref|1102258551024751700_58869.476_101747928_148_diff|58869.4762747489
10AYSEaiv||2258.514496|2.8062700229663533|0.168679|20.7456|SN|POSSIBLE|1237653665796915639|g|SDSS DR12 PhotoObjAll Table|2020-01-21|||152.65677916156147|1101037621024822400|1101037621024822400_58869.475_101747816_154_target|1101037621024822400_58869.475_101747816_154_ref|1101037621024822400_58869.475_101747816_154_diff|58869.4754114905
10AYSEaio|||5.704360151141543|0.248934|21.3746|ORPHAN|POSSIBLE||g||2020-01-21|||151.3774244246444|1100530571054215700|1100530571054215700_58869.475_101747848_172_target|1100530571054215700_58869.475_101747848_172_ref|1100530571054215700_58869.475_101747848_172_diff|58869.4758412004
10AYSEais|||6.391508028216052|0.189181|21.2646|ORPHAN|POSSIBLE||g||2020-01-21|||156.9582965348593|1102749991062329300|1102749991062329300_58869.476_101747997_214_target|1102749991062329300_58869.476_101747997_214_ref|1102749991062329300_58869.476_101747997_214_diff|58869.4767092731
10AYSEajb|||5.906238600981196|0.112471|20.6071|ORPHAN|POSSIBLE||g||2020-01-21|||155.77958310363044|1102307091055422400|1102307091055422400_58869.476_101747992_203_target|1102307091055422400_58869.476_101747992_203_ref|1102307091055422400_58869.476_101747992_203_diff|58869.4767092732
10AYSEaja|||5.929729730021117|0.125033|20.6778|ORPHAN|POSSIBLE||g||2020-01-21|||155.83834597165713|1102321201055546900|1102321201055546900_58869.476_101747992_213_target|1102321201055546900_58869.476_101747992_213_ref|1102321201055546900_58869.476_101747992_213_diff|58869.4767092732
10AYSEajd|||5.916019344832554|0.168973|21.1083|ORPHAN|POSSIBLE||g||2020-01-21|||155.80378972727144|1102312901055457600|1102312901055457600_58869.476_101747992_246_target|1102312901055457600_58869.476_101747992_246_ref|1102312901055457600_58869.476_101747992_246_diff|58869.4767092732
10AYSEaig||3342.926961|9.86657738892206|0.166312|20.6232|SN|POSSIBLE|1237658492812985070|r|SDSS DR12 PhotoObjAll Table|2020-01-21|||172.47773390029724|1112954651095159600|1112954651095159600_58869.565_101755594_143_target|1112954651095159600_58869.565_101755594_143_ref|1112954651095159600_58869.565_101755594_143_diff|58869.5650878154
10AYSEahy|||13.134425467127688|0.109296|20.0689|ORPHAN|POSSIBLE||r||2020-01-21|||170.64969743280022|1112235921130804100|1112235921130804100_58869.564_101755547_120_target|1112235921130804100_58869.564_101755547_120_ref|1112235921130804100_58869.564_101755547_120_diff|58869.5646570291
10AYSEaij|||19.570815585469973|0.275505|21.2259|ORPHAN|POSSIBLE||g||2020-01-21|||177.81133713741946|1115114711193414800|1115114711193414800_58869.570_101756072_63_target|1115114711193414800_58869.570_101756072_63_ref|1115114711193414800_58869.570_101756072_63_diff|58869.5709276796
10AYSEaia|||17.04130751338857|0.180857|20.987|ORPHAN|POSSIBLE||g||2020-01-21|||181.79769508479905|1120711441170228600|1120711441170228600_58869.571_101756136_106_target|1120711441170228600_58869.571_101756136_106_ref|1120711441170228600_58869.571_101756136_106_diff|58869.5714312413
10AYSEahu||2558.59|16.37749718713033|0.213915|21.0822|SN|POSSIBLE|SDSSJ122002.19+162231.0|g|GLADE|2020-01-21|0.455468177734||185.00009546129752|1122000031162238900|1122000031162238900_58869.572_101756256_144_target|1122000031162238900_58869.572_101756256_144_ref|1122000031162238900_58869.572_101756256_144_diff|58869.5724122001
10AYSEahw|||16.7728678505226|0.205517|21.216|ORPHAN|POSSIBLE||g||2020-01-21|||181.56254216560143|1120615011164622300|1120615011164622300_58869.571_101756133_144_target|1120615011164622300_58869.571_101756133_144_ref|1120615011164622300_58869.571_101756133_144_diff|58869.5714312413
10AYSEaii||1667.25|20.31245438412119|0.230797|21.01|SN|POSSIBLE|SDSSJ115516.93+201813.3|g|GLADE|2020-01-21|0.317138798569||178.81933191750318|1115516641201844800|1115516641201844800_58869.570_101756099_75_target|1115516641201844800_58869.570_101756099_75_ref|1115516641201844800_58869.570_101756099_75_diff|58869.5709276796
10AYSEaih||1947.217|21.01654485185056|0.192059|21.218|SN|POSSIBLE|1237668299276812754|g|SDSS DR12 PhotoObjAll Table|2020-01-21|||182.5120424851878|1121002891210059700|1121002891210059700_58869.571_101756231_130_target|1121002891210059700_58869.571_101756231_130_ref|1121002891210059700_58869.571_101756231_130_diff|58869.5719146868
10AYSEahx||3656.465079|21.00960144776739|0.252942|20.7256|SN|POSSIBLE|1237668299276615989|r|SDSS DR12 PhotoObjAll Table|2020-01-21|||181.93320234759565|1120743971210034500|1120743971210034500_58873.558_101945477_146_target|1120743971210034500_58873.558_101945477_146_ref|1120743971210034500_58873.558_101945477_146_diff|58873.5581465052
10AYSEaic||1720.5118|17.44713140971021|0.275455|20.8902|SN|POSSIBLE|1237668624086729004|g|SDSS DR12 PhotoObjAll Table|2020-01-21|||186.3293768966228|1122519051172649600|1122519051172649600_58869.572_101756345_83_target|1122519051172649600_58869.572_101756345_83_ref|1122519051172649600_58869.572_101756345_83_diff|58869.572841113
10AYSEahs|||31.778352419423335|0.194077|20.2448|ORPHAN|POSSIBLE||r||2020-01-21|||206.1293066876633|1134431021314642000|1134431021314642000_58869.659_101765976_94_target|1134431021314642000_58869.659_101765976_94_ref|1134431021314642000_58869.659_101765976_94_diff|58869.6595105102
10AYSEahn||3595.30611|31.839993668525963|0.169723|20.5582|SN|POSSIBLE|1237665126941458655|i|SDSS DR12 PhotoObjAll Table|2020-01-21|||206.90918611493694|1134738211315024000|1134738211315024000_58871.647_101865727_161_target|1134738211315024000_58871.647_101865727_161_ref|1134738211315024000_58871.647_101865727_161_diff|58871.6473952597
10AYSEahr||4593.55234|33.85642956193875|0.176225|20.2851|SN|POSSIBLE|1237665025986659256|r|SDSS DR12 PhotoObjAll Table|2020-01-21|||206.69819195336964|1134647561335123300|1134647561335123300_58869.659_101766039_62_target|1134647561335123300_58869.659_101766039_62_ref|1134647561335123300_58869.659_101766039_62_diff|58869.6599409394
10AYSEahm||2115.537937|35.2915903950382|0.0849456|19.8789|NT|POSSIBLE|1237664671643992254|r|SDSS DR12 PhotoObjAll Table|2020-01-21|||200.29582223438354|1132110991351729700|1132110991351729700_58873.616_101951914_29_target|1132110991351729700_58873.616_101951914_29_ref|1132110991351729700_58873.616_101951914_29_diff|58873.6162516847
10AYSEahq|||35.14902123552051|0.149056|20.3172|ORPHAN|POSSIBLE||r||2020-01-21|||203.4387804923418|1133345301350856400|1133345301350856400_58869.658_101765930_122_target|1133345301350856400_58869.658_101765930_122_ref|1133345301350856400_58869.658_101765930_122_diff|58869.6585877816
10AYSEahp|||34.76978879360129|0.217035|20.4003|ORPHAN|POSSIBLE||r||2020-01-21|||206.23752390487917|1134457001344611100|1134457001344611100_58869.659_101766048_97_target|1134457001344611100_58869.659_101766048_97_ref|1134457001344611100_58869.659_101766048_97_diff|58869.6599409394
10AYSEagz|PS20is||-12.126592894057167|0.0573039|19.1118|ORPHAN|CONFIRMED||i||2020-01-20|||151.27492446428502|1100505970120735600|1100505970120735600_58868.523_101705280_186_target|1100505970120735600_58868.523_101705280_186_ref|1100505970120735600_58868.523_101705280_186_diff|58875.4621295311
10AYSEahi|PS20iq|140.0|16.67776899727618|0.025107|17.4291|SN|CONFIRMED|1237665549437436054/CGCG108-05|r|SDSS/NED_D/GLADE/2MASS/GSC|2020-01-20|0.0315673||240.33496672695938|1160120381164039800|1160120381164039800_58868.650_101715154_11_target|1160120381164039800_58868.650_101715154_11_ref|1160120381164039800_58868.650_101715154_11_diff|58873.6366072619
10AYSEagy|PS20gg|287.275876|9.230724613721726|0.164142|20.6196|SN|GOOD|1237658491746582689/SDSSJ12381|i|SDSS/NED/GLADE|2020-01-20|0.063977|2020ama|189.5619377060263|1123814861091350600|1123814861091350600_58868.570_101710615_249_target|1123814861091350600_58868.570_101710615_249_ref|1123814861091350600_58868.570_101710615_249_diff|58868.570913686
10AYSEagx|PS20hj|469.709453|8.953851350906662|0.0750826|19.4888|NT|GOOD|1237662236394979366|r|SDSS DR12 PhotoObjAll Table|2020-01-20||2020apu|190.32081219239245|1124116991085713900|1124116991085713900_58868.570_101710606_101_target|1124116991085713900_58868.570_101710606_101_ref|1124116991085713900_58868.570_101710606_101_diff|58872.6062565139
10AYSEahh|PS20gh|146.3485027|20.53800832783792|0.0826263|19.0342|SN|GOOD|1237665101685850414/SDSSJ16064|i|SDSS/GLADE|2020-01-20|0.0333213||241.69637590772697|1160647121203216800|1160647121203216800_58868.651_101715332_67_target|1160647121203216800_58868.651_101715332_67_ref|1160647121203216800_58868.651_101715332_67_diff|58875.6334770955
10AYSEahb|||-8.462883217482503|0.208529|20.5773|UNCLEAR|POSSIBLE|S53B002092/1100628944008274634|i|GSC/PS1|2020-01-20|||151.62062430543853|1100628930082746400|1100628930082746400_58868.522_101705228_236_target|1100628930082746400_58868.522_101705228_236_ref|1100628930082746400_58868.522_101705228_236_diff|58868.5227630395
10AYSEahd|||-5.338712851059614|0.252942|21.331|SN|POSSIBLE|GALEXASCJ085247.56-052019.0/57|i|NED/GAIA/GSC|2020-01-20|||133.19801559140114|1085247520052019300|1085247520052019300_58868.515_101703834_227_target|1085247520052019300_58868.515_101703834_227_ref|1085247520052019300_58868.515_101703834_227_diff|58872.4278828477
10AYSEagv||2107.053251|13.605845560730835|0.14762|20.0942|NT|POSSIBLE|1237661951330877572|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||191.01048966750662|1124402521133621000|1124402521133621000_58868.571_101710706_85_target|1124402521133621000_58868.571_101710706_85_ref|1124402521133621000_58868.571_101710706_85_diff|58875.5832093997
10AYSEaha|||-12.892763154503674|0.217174|20.1657|UNCLEAR|POSSIBLE|S504002223/3765421605342315648|i|GSC/GAIA/PS1|2020-01-20|||150.94260161056704|1100346220125334000|1100346220125334000_58868.523_101705271_48_target|1100346220125334000_58868.523_101705271_48_ref|1100346220125334000_58868.523_101705271_48_diff|58868.5231941333
10AYSEajq||1678.436298|41.436447793130405|0.168868|20.614|SN|POSSIBLE|1237661852016116460|r|SDSS DR12 PhotoObjAll Table|2020-01-20|||215.68486543319023|1142244371412611100|1142244371412611100_58868.655_101715711_102_target|1142244371412611100_58868.655_101715711_102_ref|1142244371412611100_58868.655_101715711_102_diff|58873.6231178264
10AYSEahc|||-8.310718238823501|0.105563|20.1787|ORPHAN|POSSIBLE||i||2020-01-20|||150.67099132939148|1100241030081838400|1100241030081838400_58868.522_101705236_335_target|1100241030081838400_58868.522_101705236_335_ref|1100241030081838400_58868.522_101705236_335_diff|58868.5227630395
10AYSEahe|||-5.9699925683436526|0.254127|20.5271|ORPHAN|POSSIBLE||g||2020-01-20|||140.2827810970805|1092107860055812000|1092107860055812000_58868.517_101704042_165_target|1092107860055812000_58868.517_101704042_165_ref|1092107860055812000_58868.517_101704042_165_diff|58868.5171668316
10AYSEahf|||0.6752338652193461|0.198621|20.157|ORPHAN|POSSIBLE||g||2020-01-20|||136.9505946689051|1090748131004030700|1090748131004030700_58868.516_101703974_136_target|1090748131004030700_58868.516_101703974_136_ref|1090748131004030700_58868.516_101703974_136_diff|58868.5166995586
10AYSEagw||1657.849256|9.738786471485454|0.188522|20.2655|SN|POSSIBLE|1237658492281094529|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||184.02816271428034|1121606751094419700|1121606751094419700_58868.570_101710572_141_target|1121606751094419700_58868.570_101710572_141_ref|1121606751094419700_58868.570_101710572_141_diff|58875.5841460452
10AYSEagt|||9.650343675886669|0.113676|20.2125|NT|POSSIBLE|12372554+0939020/1237658492283|r|2MASS/SDSS|2020-01-20|||189.35648191266262|1123725551093901100|1123725551093901100_58872.606_101901785_171_target|1123725551093901100_58872.606_101901785_171_ref|1123725551093901100_58872.606_101901785_171_diff|58872.6062565139
10AYSEags|||11.878397116121139|0.163046|20.8921|ORPHAN|POSSIBLE||i||2020-01-20|||190.79578526914617|1124310991115242200|1124310991115242200_58868.571_101710666_219_target|1124310991115242200_58868.571_101710666_219_ref|1124310991115242200_58868.571_101710666_219_diff|58868.5713499578
10AYSEagr||510.893178|12.128981122170462|0.175642|19.9568|NT|POSSIBLE|1237661812274430052|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||183.9343605316006|1121544241120744300|1121544241120744300_58868.570_101710514_158_target|1121544241120744300_58868.570_101710514_158_ref|1121544241120744300_58868.570_101710514_158_diff|58875.584574583
10AYSEagu||1110.991814|13.47910414580383|0.189764|20.2248|NT|POSSIBLE|1237661951331074184/N5E9000908|i|SDSS/GSC|2020-01-20|||191.5490703920308|1124611771132844700|1124611771132844700_58868.571_101710699_169_target|1124611771132844700_58868.571_101710699_169_ref|1124611771132844700_58868.571_101710699_169_diff|58875.5832093997
10AYSEajo|||16.638612959039925|0.262493|20.9761|SN|POSSIBLE|1237665428646920917|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||243.61834756025246|1161428401163819000|1161428401163819000_58873.637_101953480_154_target|1161428401163819000_58873.637_101953480_154_ref|1161428401163819000_58873.637_101953480_154_diff|58875.6330464217
10AYSEajn||3328.833611|16.24117983095965|0.158803|20.3507|SN|POSSIBLE|1237665532797976747|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||242.84343215265537|1161122421161428100|1161122421161428100_58873.637_101953476_240_target|1161122421161428100_58873.637_101953476_240_ref|1161122421161428100_58873.637_101953476_240_diff|58875.6330464217
10AYSEajx|||38.907479538201144|0.314074|21.0153|ORPHAN|POSSIBLE||g||2020-01-20|||216.37657140971447|1142530381385426800|1142530381385426800_58868.656_101715769_120_target|1142530381385426800_58868.656_101715769_120_ref|1142530381385426800_58868.656_101715769_120_diff|58868.6560391692
10AYSEajs||3682.672004|21.059793351239147|0.265524|20.769|SN|POSSIBLE|1237665127492027224|i|SDSS DR12 PhotoObjAll Table|2020-01-20|||240.00827893624998|1160001991210335200|1160001991210335200_58873.637_101953397_195_target|1160001991210335200_58873.637_101953397_195_ref|1160001991210335200_58873.637_101953397_195_diff|58875.6326129692
10AYSEajv|||38.73312662865398|0.260276|21.1684|ORPHAN|POSSIBLE||g||2020-01-20|||224.44414464950557|1145746601384359300|1145746601384359300_58868.657_101715933_152_target|1145746601384359300_58868.657_101715933_152_ref|1145746601384359300_58868.657_101715933_152_diff|58868.6573963794
10AYSEajt|||40.08081234384579|0.198821|20.3094|UNCLEAR|POSSIBLE|N6B8013712/1296702544228153216|r|GSC/GAIA/PS1|2020-01-20|||225.17507857123155|1150042011400451000|1150042011400451000_58873.624_101952800_107_target|1150042011400451000_58873.624_101952800_107_ref|1150042011400451000_58873.624_101952800_107_diff|58873.6244568801
10AYSEajp|||41.125874460121786|0.201947|21.0482|ORPHAN|POSSIBLE||g||2020-01-20|||220.2616112807758|1144102771410733100|1144102771410733100_58868.656_101715883_132_target|1144102771410733100_58868.656_101715883_132_ref|1144102771410733100_58868.656_101715883_132_diff|58868.6569356256
10AYSEaju||3778.465681|42.22962116112192|0.246947|21.0402|SN|POSSIBLE|1237661210436370938|r|SDSS DR12 PhotoObjAll Table|2020-01-20|||223.56806082702101|1145416321421346600|1145416321421346600_58873.624_101952821_180_target|1145416321421346600_58873.624_101952821_180_ref|1145416321421346600_58873.624_101952821_180_diff|58873.6248901457
10AYSEajw|||41.387276321285384|0.259941|21.0484|ORPHAN|POSSIBLE||g||2020-01-20|||215.99735939782738|1142359351412314100|1142359351412314100_58868.655_101715710_192_target|1142359351412314100_58868.655_101715710_192_ref|1142359351412314100_58868.655_101715710_192_diff|58868.6556105079
10AYSEajr|||41.346046220868146|0.183308|21.2763|ORPHAN|POSSIBLE||g||2020-01-20|||224.8069624849594|1145913671412045700|1145913671412045700_58868.657_101716028_138_target|1145913671412045700_58868.657_101716028_138_ref|1145913671412045700_58868.657_101716028_138_diff|58868.6578299114
10AYSEafl|PS20ir|373.1822445|28.141627357237848|0.0250165|18.633|SN|CONFIRMED|1237664878874984651/1827439/09|i|SDSS/GLADE/2MASS|2020-01-19|0.0820675||139.62377312273338|1091829701280829800|1091829701280829800_58867.444_101649893_81_target|1091829701280829800_58867.444_101649893_81_ref|1091829701280829800_58867.444_101649893_81_diff|58874.51508875
10AYSEafe|PS20et|1511.768703|1.1836448182583865|0.0884982|19.7623|SN|CONFIRMED|1237671266034057415|i|SDSS DR12 PhotoObjAll Table|2020-01-19|||191.40150927828992|1124536361011101200|1124536361011101200_58867.608_101669889_166_target|1124536361011101200_58867.608_101669889_166_ref|1124536361011101200_58867.608_101669889_166_diff|58874.5956992506
10AYSEaes|PS20ep|14.263877|2.65951086188902|0.00212944|13.4318|SN|CONFIRMED|SDSSJ124243.88+024327.9|i|NED|2020-01-19|0.003322||190.6948664097723|1124246771023934200|1124246771023934200_58867.608_101669914_2_target|1124246771023934200_58867.608_101669914_2_ref|1124246771023934200_58867.608_101669914_2_diff|58874.5956992506
10AYSEaer|PS19gyy|68.697544|1.273995117898018|0.0462586|19.286|SN|CONFIRMED|1237651752404123790/2MASSJ1240|i|SDSS/NED/GLADE|2020-01-19|0.015847||190.08798808103086|1124021111011626400|1124021111011626400_58867.608_101669898_129_target|1124021111011626400_58867.608_101669898_129_ref|1124021111011626400_58867.608_101669898_129_diff|58867.6084850323
10AYSEafw|PS20ge||30.933589631908657|0.212231|20.9089|NT|GOOD|09223326+3056013/1237664668429|r|2MASS/SDSS|2020-01-19||2019aaad|140.638670898293|1092233261305601000|1092233261305601000_58867.436_101648839_119_target|1092233261305601000_58867.436_101648839_119_ref|1092233261305601000_58867.436_101648839_119_diff|58874.5820925003
10AYSEafz|PS20gc|2131.903915|34.446982153746134|0.11477|20.1752|SN|GOOD|1237664669506142555|r|SDSS DR12 PhotoObjAll Table|2020-01-19||2019aaab|147.4679111847234|1094952291342649300|1094952291342649300_58867.438_101649123_41_target|1094952291342649300_58867.438_101649123_41_ref|1094952291342649300_58867.438_101649123_41_diff|58874.5842469764
10AYSEafr|PS20gf|1214.213584|48.86318570028186|0.120709|20.0834|NT|GOOD|1237651250410684676|i|SDSS DR12 PhotoObjAll Table|2020-01-19||2019aaaf|128.47757508383074|1083354621485147400|1083354621485147400_58867.429_101647980_190_target|1083354621485147400_58867.429_101647980_190_ref|1083354621485147400_58867.429_101647980_190_diff|58875.4079127386
10AYSEafx|PS20gd|2950.239518|41.760632030791264|0.0925072|19.9455|NT|GOOD|1237673706651452109|g|SDSS DR12 PhotoObjAll Table|2020-01-19||2019aaae|113.41180134599014|1073338821414538300|1073338821414538300_58867.424_101647536_281_target|1073338821414538300_58867.424_101647536_281_ref|1073338821414538300_58867.424_101647536_281_diff|58874.4051768392
10AYSEafb|PS20es|321.827798|21.33765367999768|0.0606423|18.9447|SN|GOOD|1237667733975072925/SDSSJ12501|r|SDSS/GLADE|2020-01-19|0.071304||192.56703596700385|1125016071212015500|1125016071212015500_58867.603_101669267_90_target|1125016071212015500_58867.603_101669267_90_ref|1125016071212015500_58867.603_101669267_90_diff|58874.6020068963
10AYSEagb|PS20gb|616.291766|33.67903868051229|0.055281|19.2357|SN|GOOD|1237662225664245931/2036906/09|g|SDSS/GLADE/2MASS|2020-01-19|0.131179|2020alw|145.92033173295914|1094340871334044400|1094340871334044400_58867.438_101649112_44_target|1094340871334044400_58867.438_101649112_44_ref|1094340871334044400_58867.438_101649112_44_diff|58867.438644622
10AYSEaeu|PS20er|418.127625|7.545373964875635|0.0898047|19.8948|SN|GOOD|1237661976015667318/2MASXJ1309|i|SDSS/NED/GLADE/2MASS|2020-01-19|0.091369||197.37272404101643|1130929451073243200|1130929451073243200_58867.610_101670191_189_target|1130929451073243200_58867.610_101670191_189_ref|1130929451073243200_58867.610_101670191_189_diff|58874.5978860077
10AYSEaez|PS20gq|4885.583741|20.666596381959916|0.170722|20.2362|SN|GOOD|1237667916497092934|r|SDSS DR12 PhotoObjAll Table|2020-01-19||2020ani|192.3692645422329|1124928611203959700|1124928611203959700_58870.578_101810304_90_target|1124928611203959700_58870.578_101810304_90_ref|1124928611203959700_58870.578_101810304_90_diff|58874.6020068963
10AYSEafs||1618.549595|33.83587026408241|0.163157|20.8299|SN|POSSIBLE|1237661126155436535|g|SDSS DR12 PhotoObjAll Table|2020-01-19|||139.88936073361185|1091933441335009300|1091933441335009300_58867.436_101648907_191_target|1091933441335009300_58867.436_101648907_191_ref|1091933441335009300_58867.436_101648907_191_diff|58867.4368435956
10AYSEagc|||39.60131437422053|0.0601693|19.6632|ORPHAN|POSSIBLE||g||2020-01-19|||118.4899247516351|1075357551393604600|1075357551393604600_58867.426_101647737_127_target|1075357551393604600_58867.426_101647737_127_ref|1075357551393604600_58867.426_101647737_127_diff|58867.4262765921
10AYSEafn||3449.257875|25.217987316889186|0.153545|20.5773|SN|POSSIBLE|1237665127988921310|i|SDSS DR12 PhotoObjAll Table|2020-01-19|||137.99989511678353|1091159981251304800|1091159981251304800_58867.443_101649777_249_target|1091159981251304800_58867.443_101649777_249_ref|1091159981251304800_58867.443_101649777_249_diff|58867.4432277428
10AYSEafi||3948.357467|24.357035123606074|0.128663|20.4372|SN|POSSIBLE|1237667113868657167|i|SDSS DR12 PhotoObjAll Table|2020-01-19|||137.82350922371768|1091117631242125400|1091117631242125400_58867.443_101649763_209_target|1091117631242125400_58867.443_101649763_209_ref|1091117631242125400_58867.443_101649763_209_diff|58867.4432277428
10AYSEaff|||24.630155750431737|0.140252|20.6939|ORPHAN|POSSIBLE||i||2020-01-19|||133.45781141555534|1085349861243748500|1085349861243748500_58870.524_101804083_242_target|1085349861243748500_58870.524_101804083_242_ref|1085349861243748500_58870.524_101804083_242_diff|58874.5128342327
10AYSEafo|||26.833864965054033|0.114877|20.579|ORPHAN|POSSIBLE||i||2020-01-19|||137.34827820226906|1090923591265001900|1090923591265001900_58867.443_101649703_230_target|1090923591265001900_58867.443_101649703_230_ref|1090923591265001900_58867.443_101649703_230_diff|58867.4436788693
10AYSEafg|||26.442048173209415|0.0952336|20.3628|ORPHAN|POSSIBLE||i||2020-01-19|||140.34332282326062|1092122401262631400|1092122401262631400_58867.444_101649862_210_target|1092122401262631400_58867.444_101649862_210_ref|1092122401262631400_58867.444_101649862_210_diff|58867.4445995353
10AYSEafp||3602.032023|28.24668572173667|0.16755|21.0958|SN|POSSIBLE|1237664837541692115|i|SDSS DR12 PhotoObjAll Table|2020-01-19|||137.1441748149594|1090834591281448100|1090834591281448100_58867.443_101649730_406_target|1090834591281448100_58867.443_101649730_406_ref|1090834591281448100_58867.443_101649730_406_diff|58867.4436788693
10AYSEafm||4787.68894|27.454533609574597|0.085417|20.3205|SN|POSSIBLE|1237664878874264701|i|SDSS DR12 PhotoObjAll Table|2020-01-19|||137.8362936531595|1091120691272716200|1091120691272716200_58867.443_101649707_216_target|1091120691272716200_58867.443_101649707_216_ref|1091120691272716200_58867.443_101649707_216_diff|58867.4436788693
10AYSEafh|||28.51028510557257|0.0593833|19.7236|ORPHAN|POSSIBLE||i||2020-01-19|||138.04225377061482|1091210131283037100|1091210131283037100_58867.443_101649735_199_target|1091210131283037100_58867.443_101649735_199_ref|1091210131283037100_58867.443_101649735_199_diff|58867.4436788693
10AYSEage|||30.469771012089893|0.0452626|19.3551|ORPHAN|POSSIBLE||r||2020-01-19|||146.69778024945825|1094647471302811300|1094647471302811300_58867.438_101649047_137_target|1094647471302811300_58867.438_101649047_137_ref|1094647471302811300_58867.438_101649047_137_diff|58874.5838195105
10AYSEago|||38.22503073787104|0.166058|20.9173|ORPHAN|POSSIBLE||g||2020-01-19|||120.53976255916129|1080209541381330000|1080209541381330000_58867.426_101647702_157_target|1080209541381330000_58867.426_101647702_157_ref|1080209541381330000_58867.426_101647702_157_diff|58867.4262765921
10AYSEagh|||33.768100295820325|0.191732|20.9906|ORPHAN|POSSIBLE||g||2020-01-19|||145.8622119899288|1094326931334605000|1094326931334605000_58867.438_101649113_52_target|1094326931334605000_58867.438_101649113_52_ref|1094326931334605000_58867.438_101649113_52_diff|58874.5815313128
10AYSEagn||2159.986036|38.16110207648757|0.195255|21.122|SN|POSSIBLE|1237654653635462264|g|SDSS DR12 PhotoObjAll Table|2020-01-19|||120.6644968107814|1080239471380939800|1080239471380939800_58867.426_101647702_162_target|1080239471380939800_58867.426_101647702_162_ref|1080239471380939800_58867.426_101647702_162_diff|58867.4262765921
10AYSEagm|||39.062339347349905|0.201537|20.4702|ORPHAN|POSSIBLE||g||2020-01-19|||116.4811307755607|1074555471390344400|1074555471390344400_58867.425_101647601_279_target|1074555471390344400_58867.425_101647601_279_ref|1074555471390344400_58867.425_101647601_279_diff|58867.425393833
10AYSEagi|||38.22053209927378|0.140974|20.3941|ORPHAN|POSSIBLE||g||2020-01-19|||117.47192794689894|1074953251381313800|1074953251381313800_58867.425_101647619_144_target|1074953251381313800_58867.425_101647619_144_ref|1074953251381313800_58867.425_101647619_144_diff|58867.425393833
10AYSEafq||3729.217583|41.72602359989644|0.16416|20.8789|SN|POSSIBLE|1237651272955069342|g|SDSS DR12 PhotoObjAll Table|2020-01-19|||116.66603085403403|1074639851414333500|1074639851414333500_58867.425_101647656_358_target|1074639851414333500_58867.425_101647656_358_ref|1074639851414333500_58867.425_101647656_358_diff|58867.4258250949
10AYSEagd|||41.271210413952886|0.0423682|19.4649|SN|POSSIBLE|1237663547969962069|g|SDSS DR12 PhotoObjAll Table|2020-01-19|||113.27711908131266|1073306501411616200|1073306501411616200_58867.424_101647532_190_target|1073306501411616200_58867.424_101647532_190_ref|1073306501411616200_58867.424_101647532_190_diff|58867.4249425322
10AYSEagk|||39.83190705258699|0.157068|20.8123|ORPHAN|POSSIBLE||g||2020-01-19|||118.03252693113606|1075207801394954900|1075207801394954900_58867.426_101647738_267_target|1075207801394954900_58867.426_101647738_267_ref|1075207801394954900_58867.426_101647738_267_diff|58867.4262765921
10AYSEafy||3417.043893|39.03625864074455|0.125938|20.4324|SN|POSSIBLE|1237651251478725970|g|SDSS DR12 PhotoObjAll Table|2020-01-19|||116.59609200816294|1074623061390210500|1074623061390210500_58867.425_101647600_258_target|1074623061390210500_58867.425_101647600_258_ref|1074623061390210500_58867.425_101647600_258_diff|58867.425393833
10AYSEaga|||42.20081218611435|0.16128|20.68|ORPHAN|POSSIBLE||g||2020-01-19|||113.33292313965114|1073319901421202900|1073319901421202900_58867.424_101647543_307_target|1073319901421202900_58867.424_101647543_307_ref|1073319901421202900_58867.424_101647543_307_diff|58867.4249425322
