local_designation|ps1_designation|sherlock_distancempc|dec_psf|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|target|ref|diff|mjd_obs
10AYSEauw|||38.56822874919578|0.20923|20.563|ORPHAN|POSSIBLE||r||2020-01-26|||119.8824451105058|1075931791383405600|1075931791383405600_58874.409_101977423_262_target|1075931791383405600_58874.409_101977423_262_ref|1075931791383405600_58874.409_101977423_262_diff|58874.4092276669
10AYSEaux|||38.56369065725172|0.200961|20.5583|ORPHAN|POSSIBLE||r||2020-01-26|||113.65458676185737|1073437111383349300|1073437111383349300_58874.407_101977207_254_target|1073437111383349300_58874.407_101977207_254_ref|1073437111383349300_58874.407_101977207_254_diff|58874.4074663976
10AYSEauq|||38.20272514146591|0.129617|20.4327|SN|POSSIBLE|07501493+3812335|r|GLADE/2MASS|2020-01-26|||117.55665204215039|1075013591381209800|1075013591381209800_58874.408_101977331_230_target|1075013591381209800_58874.408_101977331_230_ref|1075013591381209800_58874.408_101977331_230_diff|58874.4083430157
10AYSEauv||1785.799377|38.18101925163183|0.152604|20.6551|SN|POSSIBLE|1237653589017035379|r|SDSS DR12 PhotoObjAll Table|2020-01-26|||117.57378315194124|1075017701381051800|1075017701381051800_58874.408_101977331_267_target|1075017701381051800_58874.408_101977331_267_ref|1075017701381051800_58874.408_101977331_267_diff|58874.4083430157
10AYSEavc|||41.29266177239856|0.103904|20.1724|ORPHAN|POSSIBLE||r||2020-01-26|||117.58521556128836|1075020451411733600|1075020451411733600_58874.408_101977357_186_target|1075020451411733600_58874.408_101977357_186_ref|1075020451411733600_58874.408_101977357_186_diff|58874.4087748816
10AYSEauy|||39.109029330415915|0.169643|20.379|SN|POSSIBLE|GALEXASCJ075806.47+390635.1|r|NED|2020-01-26|||119.5283867261281|1075806791390632300|1075806791390632300_58874.409_101977431_260_target|1075806791390632300_58874.409_101977431_260_ref|1075806791390632300_58874.409_101977431_260_diff|58874.4092276669
10AYSEaur|||42.19456282268139|0.108891|20.1315|ORPHAN|POSSIBLE||r||2020-01-26|||116.48411783470733|1074556171421140300|1074556171421140300_58874.408_101977377_189_target|1074556171421140300_58874.408_101977377_189_ref|1074556171421140300_58874.408_101977377_189_diff|58874.4087748816
10AYSEauj||2230.484772|24.791668569757935|0.108811|20.8767|SN|POSSIBLE|1237665097387606224/1237665097387606223|i|SDSS|2020-01-26|||137.6789807355376|1091042951244729900|1091042951244729900_58874.513_101990373_379_target|1091042951244729900_58874.513_101990373_379_ref|1091042951244729900_58874.513_101990373_379_diff|58874.5137306475
10AYSEauk|||25.015412187492142|0.0862547|20.6984|ORPHAN|POSSIBLE||i||2020-01-26|||137.8771831190186|1091130511250055400|1091130511250055400_58874.513_101990373_358_target|1091130511250055400_58874.513_101990373_358_ref|1091130511250055400_58874.513_101990373_358_diff|58874.5137306475
10AYSEaub|||24.557954525662893|0.0962268|20.6338|ORPHAN|POSSIBLE||i||2020-01-26|||137.85845403274558|1091126031243328500|1091126031243328500_58874.513_101990367_211_target|1091126031243328500_58874.513_101990367_211_ref|1091126031243328500_58874.513_101990367_211_diff|58874.5137306475
10AYSEaue||2208.0|24.826274984433105|0.0916223|20.679|SN|POSSIBLE|SDSSJ085812.52+244932.4|i|GLADE|2020-01-26|0.402615141308||134.5620045843956|1085814881244934400|1085814881244934400_58874.512_101990275_366_target|1085814881244934400_58874.512_101990275_366_ref|1085814881244934400_58874.512_101990275_366_diff|58874.5128342327
10AYSEaug|||24.128833078581945|0.115901|20.824|ORPHAN|POSSIBLE||i||2020-01-26|||140.53673607876541|1092208801240743800|1092208801240743800_58874.514_101990475_322_target|1092208801240743800_58874.514_101990475_322_ref|1092208801240743800_58874.514_101990475_322_diff|58874.5146208591
10AYSEaul|||24.78384307024686|0.0738968|20.4093|ORPHAN|POSSIBLE||i||2020-01-26|||140.71454060381652|1092251491244701700|1092251491244701700_58874.514_101990493_356_target|1092251491244701700_58874.514_101990493_356_ref|1092251491244701700_58874.514_101990493_356_diff|58874.5146208591
10AYSEaui|||25.173045069129813|0.0829603|20.4985|ORPHAN|POSSIBLE||i||2020-01-26|||141.13527916289783|1092432471251022900|1092432471251022900_58874.514_101990492_300_target|1092432471251022900_58874.514_101990492_300_ref|1092432471251022900_58874.514_101990492_300_diff|58874.5146208591
10AYSEauf|||24.988896349167227|0.106729|20.4226|ORPHAN|POSSIBLE||i||2020-01-26|||141.46934703148798|1092552631245920100|1092552631245920100_58874.514_101990491_235_target|1092552631245920100_58874.514_101990491_235_ref|1092552631245920100_58874.514_101990491_235_diff|58874.5146208591
10AYSEaum|||28.106717438489824|0.090018|20.3854|ORPHAN|POSSIBLE||i||2020-01-26|||138.36792635599366|1091328291280624200|1091328291280624200_58874.514_101990436_315_target|1091328291280624200_58874.514_101990436_315_ref|1091328291280624200_58874.514_101990436_315_diff|58874.514182867
10AYSEaup|||27.38749768030774|0.138068|20.8413|ORPHAN|POSSIBLE||i||2020-01-26|||140.2209356854534|1092053021272315000|1092053021272315000_58874.515_101990532_293_target|1092053021272315000_58874.515_101990532_293_ref|1092053021272315000_58874.515_101990532_293_diff|58874.51508875
10AYSEauo||3104.729818|24.823959258256487|0.0608966|20.1809|SN|POSSIBLE|SDSSJ092302.90+244945.1|i|NED|2020-01-26|0.539586||140.7691850395258|1092304611244926100|1092304611244926100_58874.514_101990493_303_target|1092304611244926100_58874.514_101990493_303_ref|1092304611244926100_58874.514_101990493_303_diff|58874.5146208591
